Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Radius,Rating,Review Count,Invnetory Link
D-24770071,Lings Auto Corp,N/A,1510 Hoefgen Ave,San Antonio,TX,"San Antonio, TX",N/A,78210,"Called and talked with Frank.  I asked if he personally drove the car because his dealership was 3.5 hours away. He assured me the car drove great and I would like it.  He lied.  Shocks/struts were awful.  At 70 mph the front feft of the car was bouncing so bad I got off the freeway.  It scared the crap out of me.  The car interior was also really bad.  I guess that is why there were so few pics of the interior.  Leather seats had small cracks throughout.  With a repair center on site, the oil was even dirty.  Undercarriage was not adhered correctly on the front.  All the 5 Star reviews must be from friends or people that were paid.  Also, BEWARE  this place is in a very bad neighborhood.",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.5,8,https://www.cargurus.com/Cars/m-Lings-Auto-Corp-sp409157
D-24770071,First Class Motors,N/A,1311 N Gevers St,San Antonio,TX,"San Antonio, TX",N/A,78202,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,N/A,N/A,https://www.cargurus.com/Cars/m-First-Class-Motors-sp456417
D-24770071,S.I.D. Motors,N/A,1506 N. Zarzamora,San Antonio,TX,"San Antonio, TX",N/A,78207,No reviews available,https://static.cargurus.com/images/site/2023/05/10/13/49/s_i_d__motors-pic-6958406627103004405-200x200.jpeg,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-S-I-D-Motors-sp338795
D-24770071,Drive Out Auto Center,N/A,3223 San Pedro Ave,San Antonio,TX,"San Antonio, TX",N/A,78212,"Applying online was quick and easy. Matt called me within minutes to 
confirm I was still interested in purchasing the vehicle. He called me 
the next day with approval for a loan. Within 2 days I was at the 
dealership test driving the vehicle and ultimately buying it.
Barry helped me with all the paperwork and even though there was an 
issue with my insurance he was finding ways to help me out so that I 
could buy the vehicle. He was very nice and knowledgeable. The last 
time I bought a vehicle I left feeling like I was ripped off and that the 
salesman only cared about getting his money. When I left Drive Out 
Auto Center I felt the complete opposite. I would highly recommend 
Drive Out Auto Center to anybody looking to purchase their next 
vehicle.",https://static.cargurus.com/images/site/2019/03/12/11/54/drive_out_auto_center-pic-3071783752722894971-200x200.jpeg,3 mi,4.7,9,https://www.cargurus.com/Cars/m-Drive-Out-Auto-Center-sp349655
D-24770071,Ruben's Auto Sales,N/A,2607 S Zarzamora St,San Antonio,TX,"San Antonio, TX",N/A,78207,No reviews available,No image,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Rubens-Auto-Sales-sp342522
D-24770071,Grupo Aztecar Mex LLC,N/A,405 Gladstone Ave,San Antonio,TX,"San Antonio, TX",N/A,78214,"The sales representative was very nice and helpful. Unfortunately, the Carfax I was provided did not show that 
the entire right side of the truck had significant body and paint work done to it. I drove over 3 hours to see 
what I thought was a clean vehicle only to discover that the entire right side was poorly repaired after some 
sort of damage.",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,3 mi,3.0,1,https://www.cargurus.com/Cars/m-Grupo-Aztecar-Mex-LLC-sp444215
D-24770071,Phoenix Motors,N/A,4414 S Panam Expy,San Antonio,TX,"San Antonio, TX",N/A,78225,No reviews available,https://static.cargurus.com/images/site/2024/06/17/18/22/phoenix_motors-pic-2705286676996375436-200x200.jpeg,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Phoenix-Motors-sp455669
D-24770071,A & E Motors,N/A,5505 San Pedro Ave,San Antonio,TX,"San Antonio, TX",N/A,78212,"They where grate I appreciate everything they do there professional on salting me this car was excellent, I still haven’t found my dream car but with people like this helping out I know I find it. Again. Thank you for everything yall do over at A&E Motors looking forward to seen them soon.",https://static.cargurus.com/images/site/2020/02/19/09/31/a___e_motors-pic-16735288720441414555-200x200.jpeg,3 mi,3.2,5,https://www.cargurus.com/Cars/m-A-E-Motors-sp341379
D-24770071,210 Auto Center,N/A,2904 Nogalitos Street,San Antonio,TX,"San Antonio, TX",N/A,78225,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-210-Auto-Center-sp368431
D-24770071,Diamond Motors,N/A,4519 S Panam Expy,San Antonio,TX,"San Antonio, TX",N/A,78225,Nothing true compare the car pictures to the real conditions in person. Caravan was in very very bad conditions inside and outside. I'm driving 200k miles expecting a beautiful truck for the price.,https://static.cargurus.com/images/site/2019/11/25/18/24/diamond_armor_auto-pic-1195125508695487412-200x200.jpeg,3 mi,3.2,4,https://www.cargurus.com/Cars/m-Diamond-Motors-sp433721
